	start	end	color	y_min	y_max
Lan-Huh7_11249-11375	11249	11375	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_11656-11804	11656	11804	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_11830-12018	11830	12018	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_12048-12217	12048	12217	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_12442-12609	12442	12609	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_12842-13022	12842	13022	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_13247-13423	13247	13423	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_13434-13601	13434	13601	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_13832-14003	13832	14003	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_14033-14181	14033	14181	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_14234-14401	14234	14401	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_14667-14763	14667	14763	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_14901-15002	14901	15002	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_15239-15407	15239	15407	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_15445-15597	15445	15597	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_16031-16212	16031	16212	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_16233-16408	16233	16408	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_16440-16609	16440	16609	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_16660-16764	16660	16764	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_17058-17179	17058	17179	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_17268-17411	17268	17411	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_17652-17818	17652	17818	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_18467-18596	18467	18596	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_18638-18800	18638	18800	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_19047-19213	19047	19213	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_19250-19363	19250	19363	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_19488-19606	19488	19606	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_20036-20217	20036	20217	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_20885-20990	20885	20990	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_21038-21216	21038	21216	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_21240-21377	21240	21377	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_21645-21800	21645	21800	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_23439-23605	23439	23605	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_23639-23807	23639	23807	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_24066-24205	24066	24205	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_24841-24961	24841	24961	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_25634-25813	25634	25813	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_26131-26207	26131	26207	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_26235-26412	26235	26412	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_26471-26619	26471	26619	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_27648-27795	27648	27795	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_28071-28209	28071	28209	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_28443-28620	28443	28620	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_28648-28812	28648	28812	(0.6, 0.6, 0.8)	0.95	1.0
Lan-Huh7_29037-29209	29037	29209	(0.6, 0.6, 0.8)	0.95	1.0
FSE	13462	13542	(1, 0, 0, 1)		
