first,last,unpaired-recovery
12371,12490,0.7115384615384616
12571,12690,0.423076923076923
12611,12730,0.5416666666666666
12691,12810,0.44
12891,13010,0.8333333333333334
13330,13449,0.5185185185185185
13370,13488,0.6744186046511628
13410,13528,0.6216216216216216
13647,13766,0.46153846153846156
13687,13806,0.6111111111111112
13807,13926,0.9074074074074073
13887,14006,0.5666666666666667
13927,14046,0.6
14007,14126,0.4
14047,14166,0.7
14087,14206,0.5689655172413793
14127,14246,0.3448275862068966
14207,14326,0.8571428571428572
14367,14486,0.7272727272727272
14447,14566,0.5
14527,14646,0.74
14687,14806,0.6666666666666666
14727,14846,0.6875
14767,14886,0.3958333333333333
14847,14966,0.4772727272727272
14887,15006,0.37999999999999995
14967,15086,0.5892857142857143
15007,15126,0.48333333333333334
15607,15725,0.30612244897959184
15646,15765,0.43181818181818177
16446,16565,0.7413793103448276
16486,16605,0.7258064516129034
16766,16885,0.5
17086,17205,0.5416666666666666
17126,17245,0.7727272727272727
17166,17285,0.5185185185185185
17206,17325,0.5294117647058824
17326,17445,0.6607142857142857
17366,17485,0.7142857142857142
17446,17565,0.5769230769230769
17526,17645,0.7380952380952381
17766,17885,0.5161290322580646
17846,17965,0.8409090909090908
17966,18085,0.5263157894736842
18646,18765,0.423076923076923
18686,18805,0.2368421052631579
18806,18925,0.2708333333333333
18846,18965,0.25
18926,19045,0.803030303030303
19046,19165,0.6000000000000001
19166,19285,0.5952380952380953
19206,19325,0.5192307692307693
19366,19485,0.5681818181818181
19406,19525,0.5555555555555556
19446,19565,0.5277777777777778
19646,19765,0.46153846153846156
19766,19885,0.6590909090909091
19926,20045,0.5384615384615384
19966,20085,0.9411764705882353
20206,20325,0.46
20286,20405,0.8125
20446,20565,0.7250000000000001
20486,20605,0.28571428571428575
20806,20925,0.7727272727272727
20846,20965,0.5925925925925927
21006,21125,1.0
21126,21245,0.75
21326,21445,0.7115384615384616
21366,21485,0.7857142857142857
21406,21525,0.5
21446,21565,0.44230769230769235
22102,22219,0.7068965517241379
22140,22259,0.7857142857142857
22698,22817,0.85
22738,22857,0.6
22778,22897,0.6346153846153847
23098,23217,0.596774193548387
23298,23417,0.66
23338,23457,0.6875
23498,23617,0.5909090909090908
23538,23657,0.5800000000000001
23578,23697,0.55
23698,23817,0.7321428571428571
23978,24097,0.88
24257,24376,0.45
25017,25136,0.5535714285714286
25137,25256,0.66
25177,25296,0.7200000000000001
25217,25336,0.8333333333333334
25337,25455,0.5686274509803921
25456,25575,0.8148148148148149
25496,25615,0.793103448275862
25536,25655,0.65
25576,25695,0.537037037037037
25656,25775,0.671875
25816,25935,0.8333333333333334
25856,25975,0.782608695652174
25896,26015,0.6749999999999999
25936,26055,0.7058823529411765
26016,26135,0.7105263157894738
26096,26215,0.5689655172413793
26136,26255,0.8809523809523809
26176,26295,0.45833333333333326
26216,26335,0.84375
26256,26375,0.3703703703703704
26376,26491,0.72
26416,26528,0.5897435897435898
26453,26568,0.62
26492,26608,0.6222222222222222
26529,26648,0.6153846153846153
26569,26688,0.5555555555555556
26609,26728,0.7241379310344828
26729,26848,0.6428571428571429
27249,27368,0.88
27402,27521,0.6666666666666666
27442,27561,0.4782608695652174
27522,27641,0.7258064516129034
28759,28878,0.7499999999999999
28839,28958,0.625
28959,29078,0.8269230769230769
28999,29118,0.85
29039,29158,0.6935483870967742
29079,29198,0.75
29119,29238,0.6956521739130436
29239,29358,0.7272727272727273
29279,29398,0.7894736842105263
29319,29438,0.6710526315789473
29399,29512,0.8478260869565217
29513,29630,0.7407407407407407
29551,29670,0.7777777777777778
29591,29710,0.44
