first,last,agreement
14007,14126,0.6583333333333333
14047,14166,0.7583333333333333
14087,14206,0.6333333333333333
14127,14246,0.5833333333333334
14207,14326,0.7833333333333333
14367,14486,0.75
14447,14566,0.625
14527,14646,0.85
14687,14806,0.775
14727,14846,0.8083333333333333
14767,14886,0.6583333333333333
14847,14966,0.5333333333333333
14887,15006,0.7
14967,15086,0.65
15007,15126,0.5916666666666667
15607,15725,0.5546218487394958
15646,15765,0.6583333333333333
16446,16565,0.8
16486,16605,0.75
16766,16885,0.8166666666666667
17086,17205,0.75
17126,17245,0.95
17166,17285,0.675
17206,17325,0.6083333333333333
17326,17445,0.725
17366,17485,0.875
17446,17565,0.7083333333333334
17526,17645,0.775
17766,17885,0.6833333333333333
17846,17965,0.6916666666666667
17966,18085,0.4583333333333333
18646,18765,0.7333333333333333
18686,18805,0.6833333333333333
18806,18925,0.6166666666666667
18846,18965,0.6916666666666667
18926,19045,0.8583333333333333
19046,19165,0.65
19166,19285,0.6333333333333333
19206,19325,0.65
19366,19485,0.9
19406,19525,0.7666666666666667
19446,19565,0.7083333333333334
19646,19765,0.7833333333333333
19766,19885,0.775
19926,20045,0.6916666666666667
19966,20085,0.7583333333333333
20206,20325,0.6166666666666667
20286,20405,0.8166666666666667
20446,20565,0.8333333333333334
20486,20605,0.5333333333333333
20806,20925,0.6916666666666667
20846,20965,0.8
21006,21125,0.9
21126,21245,0.8
21326,21445,0.7416666666666667
21366,21485,0.7166666666666667
21406,21525,0.6916666666666667
21446,21565,0.575
22102,22219,0.7627118644067796
22140,22259,0.7
22698,22817,0.85
22738,22857,0.7833333333333333
22778,22897,0.8583333333333333
23098,23217,0.7
23298,23417,0.725
23338,23457,0.6916666666666667
23498,23617,0.7166666666666667
23538,23657,0.7333333333333333
23578,23697,0.575
23698,23817,0.8083333333333333
23978,24097,0.9583333333333334
24257,24376,0.7333333333333333
25017,25136,0.75
25137,25256,0.8083333333333333
25177,25296,0.8333333333333334
25217,25336,0.9833333333333333
25337,25455,0.7394957983193278
25456,25575,0.8666666666666667
25496,25615,0.8416666666666667
25536,25655,0.7666666666666667
25576,25695,0.6166666666666667
25656,25775,0.7
25816,25935,0.8833333333333333
25856,25975,0.8916666666666667
25896,26015,0.825
25936,26055,0.825
26016,26135,0.8333333333333334
26096,26215,0.8333333333333334
26136,26255,0.8833333333333333
26176,26295,0.5333333333333333
26216,26335,0.7833333333333333
26256,26375,0.55
26376,26491,0.7413793103448276
26416,26528,0.6371681415929203
26453,26568,0.8448275862068966
26492,26608,0.7521367521367521
26529,26648,0.775
26569,26688,0.775
26609,26728,0.7833333333333333
26729,26848,0.8083333333333333
27249,27368,0.8666666666666667
27402,27521,0.875
27442,27561,0.7666666666666667
27522,27641,0.8583333333333333
28759,28878,0.8166666666666667
28839,28958,0.8166666666666667
28959,29078,0.7416666666666667
28999,29118,0.975
29039,29158,0.7833333333333333
29079,29198,0.6583333333333333
29119,29238,0.7416666666666667
29239,29358,0.825
29279,29398,0.8166666666666667
29319,29438,0.8166666666666667
29399,29512,0.7456140350877193
29513,29630,0.8983050847457628
29551,29670,0.8416666666666667
29591,29710,0.6416666666666667
